sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13,fr_childes_convergence_clm_42,fr_childes_convergence_clm_30,fr_childes_convergence_clm_13,fr_wikipedia_convergence_clm_42,fr_wikipedia_convergence_clm_30,fr_wikipedia_convergence_clm_13,fr_wikipedia_best_mlm_42,fr_wikipedia_best_mlm_30,fr_wikipedia_best_mlm_13,fr_childes_best_mlm_42,fr_childes_best_mlm_30,fr_childes_best_mlm_13
les pilotes parle,-30.539257049560547,-25.503376007080078,-31.293149948120117,-21.18863868713379,-20.67003059387207,-24.167869567871094,-36.1754150390625,-35.366268157958984,-36.04741668701172,-22.92612075805664,-23.694503784179688,-25.93387222290039,-23.77157974243164,-22.260025024414062,-24.01321029663086,-43.290592193603516,-43.0356559753418,-45.123046875
les pilotes retournent,-32.78770065307617,-28.668577194213867,-33.48764419555664,-15.581489562988281,-16.2010498046875,-16.21503257751465,-37.80713653564453,-35.23322296142578,-42.199974060058594,-16.66604995727539,-15.905070304870605,-17.194555282592773,-14.785465240478516,-16.616134643554688,-13.641239166259766,-43.62593078613281,-47.205528259277344,-44.425689697265625
les pilotes retourne,-30.185264587402344,-26.70840072631836,-30.824430465698242,-21.873985290527344,-19.20709800720215,-23.920434951782227,-37.306129455566406,-32.18205642700195,-32.5163459777832,-26.169357299804688,-19.37810516357422,-26.48058319091797,-16.21413230895996,-12.027851104736328,-13.088146209716797,-41.7601318359375,-39.94179916381836,-41.66417694091797
les consultants sont vieux,-24.454330444335938,-26.17676544189453,-29.16362762451172,-23.667457580566406,-27.23798370361328,-24.44211769104004,-28.596576690673828,-29.83505630493164,-32.25152587890625,-30.459781646728516,-27.848068237304688,-29.41790008544922,-33.13922882080078,-32.75116729736328,-29.829822540283203,-38.810394287109375,-37.2052001953125,-38.27967834472656
les consultants est vieux,-31.108768463134766,-26.7965145111084,-28.263206481933594,-27.653156280517578,-31.868417739868164,-30.322715759277344,-39.175907135009766,-28.769447326660156,-25.73233413696289,-33.89003372192383,-34.34222412109375,-35.133243560791016,-39.44052505493164,-37.54680633544922,-33.07218933105469,-43.508209228515625,-41.99449920654297,-40.6605339050293
les consultants sont jeunes,-30.314496994018555,-31.846023559570312,-34.069549560546875,-22.035903930664062,-25.881961822509766,-23.707590103149414,-34.88725662231445,-35.18389892578125,-38.421260833740234,-25.169116973876953,-25.244237899780273,-28.257556915283203,-33.365936279296875,-28.867311477661133,-30.060653686523438,-60.15085220336914,-48.73222351074219,-56.394527435302734
les consultants est jeune,-31.559123992919922,-28.853145599365234,-31.014602661132812,-25.538814544677734,-30.53495216369629,-29.448673248291016,-37.06450271606445,-33.25127410888672,-29.31861686706543,-30.469867706298828,-30.060401916503906,-32.84006118774414,-34.977962493896484,-32.63393020629883,-31.575542449951172,-50.917747497558594,-43.80462646484375,-44.24560546875
les consultants sont petits,-23.08325958251953,-25.588558197021484,-26.478431701660156,-21.38043212890625,-25.982940673828125,-22.450895309448242,-27.596412658691406,-31.140636444091797,-29.67633056640625,-24.372194290161133,-22.492284774780273,-25.217365264892578,-31.818382263183594,-29.775413513183594,-29.069272994995117,-43.98811721801758,-40.21742630004883,-38.12505340576172
les consultants est petit,-29.078147888183594,-26.302257537841797,-27.270828247070312,-24.800518035888672,-28.468015670776367,-27.21343994140625,-32.49656677246094,-27.41717529296875,-25.41037368774414,-29.027523040771484,-27.80992317199707,-29.552837371826172,-37.34733963012695,-34.026329040527344,-29.820926666259766,-46.051979064941406,-43.965545654296875,-40.42190170288086
les consultants sont grands,-22.063053131103516,-24.894081115722656,-26.138896942138672,-20.992944717407227,-23.870948791503906,-21.578134536743164,-24.11309814453125,-27.323650360107422,-30.088516235351562,-23.717613220214844,-21.8414363861084,-25.119674682617188,-30.05512046813965,-26.62277603149414,-25.736980438232422,-43.74574279785156,-37.29227066040039,-36.62425231933594
les consultants est grand,-29.477828979492188,-27.127307891845703,-28.874160766601562,-25.642654418945312,-28.000322341918945,-27.210655212402344,-34.683773040771484,-30.12820816040039,-28.38840103149414,-33.01325225830078,-29.09771156311035,-32.60175704956055,-35.081661224365234,-31.72876739501953,-30.103832244873047,-44.88325881958008,-42.59748840332031,-43.294044494628906
les consultants déménagent,-27.926334381103516,-30.273378372192383,-32.209617614746094,-51.076480865478516,-63.75999450683594,-51.70046615600586,-31.954383850097656,-36.5118408203125,-29.722497940063477,-48.05500793457031,-74.24737548828125,-68.99964141845703,-80.32054901123047,-81.71691131591797,-86.35095977783203,-45.668617248535156,-41.131431579589844,-46.159969329833984
les consultants déménage,-26.08536148071289,-28.926067352294922,-31.077247619628906,-51.63257598876953,-62.08869934082031,-54.62102127075195,-41.26390838623047,-37.095577239990234,-35.85745620727539,-52.918304443359375,-70.3349380493164,-66.36880493164062,-83.20187377929688,-77.9476547241211,-84.87935638427734,-39.414222717285156,-39.05032730102539,-37.635581970214844
les consultants parlent,-20.016006469726562,-21.666200637817383,-27.728565216064453,-16.473445892333984,-18.913143157958984,-17.585792541503906,-20.35464096069336,-27.69829559326172,-23.921110153198242,-16.820396423339844,-16.818506240844727,-19.834827423095703,-29.303321838378906,-27.90058708190918,-28.442962646484375,-39.61372375488281,-34.106178283691406,-39.45024108886719
les consultants parle,-22.381206512451172,-24.606136322021484,-27.54706573486328,-18.678909301757812,-22.760494232177734,-22.04799461364746,-30.007564544677734,-33.439788818359375,-25.921810150146484,-21.94970703125,-23.785951614379883,-24.602855682373047,-30.614856719970703,-31.954877853393555,-29.478374481201172,-35.271949768066406,-37.741180419921875,-37.5301628112793
les consultants retournent,-26.91155242919922,-28.16320037841797,-27.68685531616211,-18.313886642456055,-19.311817169189453,-20.67121124267578,-32.73481750488281,-33.28065872192383,-29.592689514160156,-19.152313232421875,-19.186199188232422,-23.072509765625,-28.995716094970703,-29.332000732421875,-26.438528060913086,-44.04150390625,-39.800662994384766,-43.168548583984375
les consultants retourne,-23.17007064819336,-25.001079559326172,-27.613842010498047,-22.304981231689453,-25.221040725708008,-26.32683563232422,-29.82619857788086,-30.09371566772461,-26.195110321044922,-25.78441619873047,-27.746686935424805,-31.343603134155273,-32.95500946044922,-28.994625091552734,-29.884624481201172,-42.988731384277344,-42.295780181884766,-42.612396240234375
l' auteur est vieux,-30.19133758544922,-28.437314987182617,-28.96255874633789,-31.381855010986328,-31.148231506347656,-30.98438835144043,-33.266021728515625,-34.719905853271484,-38.369850158691406,-34.304443359375,-35.596824645996094,-35.366905212402344,-28.498764038085938,-25.902576446533203,-25.463241577148438,-34.78496551513672,-38.33544921875,-27.240642547607422
l' auteur sont vieux,-38.28842544555664,-35.4661979675293,-35.92678451538086,-37.68367004394531,-37.242210388183594,-35.797332763671875,-44.311256408691406,-42.336090087890625,-50.186710357666016,-40.460601806640625,-39.48521423339844,-40.515647888183594,-32.725250244140625,-31.0162353515625,-30.542755126953125,-40.59571838378906,-47.02226257324219,-32.6888427734375
l' auteur est jeune,-30.366117477416992,-29.259366989135742,-30.739850997924805,-27.659236907958984,-28.936792373657227,-29.14417266845703,-34.759090423583984,-38.81003952026367,-39.970420837402344,-27.01709747314453,-30.579843521118164,-30.31355094909668,-24.094533920288086,-20.548660278320312,-22.10807228088379,-32.353431701660156,-36.245025634765625,-28.13146209716797
l' auteur sont jeunes,-42.40673065185547,-39.91686248779297,-41.32878875732422,-36.00923538208008,-37.02074432373047,-37.148948669433594,-47.86179733276367,-47.469608306884766,-56.84510040283203,-36.456809997558594,-39.04438781738281,-39.120113372802734,-31.313888549804688,-29.89059066772461,-30.682403564453125,-49.648109436035156,-58.97663497924805,-41.13389205932617
l' auteur est petit,-29.1351261138916,-28.651323318481445,-28.357973098754883,-28.836814880371094,-29.479084014892578,-28.95539093017578,-29.277631759643555,-34.755126953125,-33.3712158203125,-28.55791473388672,-31.338226318359375,-28.65809440612793,-25.585678100585938,-23.24527931213379,-22.443702697753906,-36.85377883911133,-37.51223373413086,-26.24713897705078
l' auteur sont petits,-35.16796112060547,-32.889801025390625,-34.18654251098633,-36.54765701293945,-37.647705078125,-35.35649108886719,-40.61349868774414,-42.56100082397461,-41.12908935546875,-39.06770706176758,-36.80410385131836,-37.28047180175781,-27.971879959106445,-28.982316970825195,-27.785476684570312,-37.06644821166992,-45.162994384765625,-25.80503273010254
l' auteur est grand,-28.490129470825195,-28.101152420043945,-28.115148544311523,-28.71368980407715,-29.050582885742188,-27.512775421142578,-31.821741104125977,-35.3665885925293,-34.50437545776367,-31.015560150146484,-32.46885681152344,-28.544771194458008,-25.994354248046875,-25.33361053466797,-25.139530181884766,-35.01912307739258,-35.523258209228516,-27.489620208740234
l' auteur sont grands,-34.64106750488281,-31.664690017700195,-34.34553527832031,-35.95935821533203,-35.63608932495117,-35.388206481933594,-39.19213104248047,-37.81343078613281,-39.76911163330078,-36.853233337402344,-36.83201599121094,-37.43424606323242,-27.182048797607422,-27.23021697998047,-27.013051986694336,-36.25204086303711,-42.37506866455078,-26.12714385986328
l' auteur déménage,-31.655120849609375,-32.05357360839844,-31.791959762573242,-55.56393051147461,-60.93418502807617,-58.19786071777344,-29.129060745239258,-43.86884689331055,-48.61628341674805,-59.010902404785156,-76.52688598632812,-70.23860931396484,-74.86399841308594,-74.51085662841797,-77.11544799804688,-37.107749938964844,-47.66808319091797,-34.75860595703125
l' auteur déménagent,-37.63142013549805,-35.887290954589844,-38.148681640625,-61.09165573120117,-69.05098724365234,-60.62333679199219,-34.73369216918945,-47.08351135253906,-42.228633880615234,-57.86857604980469,-83.81307983398438,-82.54835510253906,-73.35581970214844,-80.49111938476562,-80.52713012695312,-40.18040466308594,-49.31081008911133,-42.601078033447266
l' auteur parle,-28.319578170776367,-28.050033569335938,-29.919086456298828,-22.784259796142578,-24.380704879760742,-23.23112678527832,-26.985797882080078,-35.63765335083008,-39.801536560058594,-22.167911529541016,-28.439128875732422,-23.976436614990234,-19.94329833984375,-16.76612091064453,-18.211904525756836,-30.598262786865234,-37.093788146972656,-29.751108169555664
l' auteur parlent,-30.739791870117188,-29.449790954589844,-32.79319381713867,-28.10132598876953,-31.345796585083008,-27.494735717773438,-31.14690399169922,-41.224456787109375,-38.17708206176758,-26.29433250427246,-35.74759292602539,-33.939918518066406,-29.321327209472656,-28.724225997924805,-27.744544982910156,-32.4401741027832,-42.08901596069336,-31.693180084228516
l' auteur retourne,-30.9431095123291,-29.702178955078125,-31.302989959716797,-24.385425567626953,-27.37224769592285,-26.384096145629883,-36.826927185058594,-41.6424560546875,-37.837005615234375,-24.387348175048828,-30.458477020263672,-28.505237579345703,-24.2620906829834,-23.39348602294922,-27.53078842163086,-37.77738571166992,-42.23634338378906,-30.138690948486328
l' auteur retournent,-36.55658721923828,-35.034576416015625,-32.490840911865234,-31.22963523864746,-32.59653854370117,-33.3929443359375,-39.10564041137695,-46.172176361083984,-42.02043914794922,-32.63406753540039,-38.936119079589844,-32.70752716064453,-29.76984405517578,-29.046764373779297,-28.778289794921875,-35.92742156982422,-45.484375,-38.457611083984375
le directeur est vieux,-25.317811965942383,-23.963136672973633,-27.202604293823242,-26.33074188232422,-25.98605728149414,-24.141672134399414,-34.3848876953125,-27.382917404174805,-34.82114791870117,-31.680461883544922,-28.706117630004883,-27.199047088623047,-26.251510620117188,-28.419357299804688,-23.75270652770996,-38.093299865722656,-34.640750885009766,-26.846668243408203
le directeur sont vieux,-33.89945983886719,-32.775421142578125,-35.98008346557617,-32.55248260498047,-30.22764015197754,-28.818687438964844,-42.720760345458984,-40.43320846557617,-50.258934020996094,-38.950096130371094,-31.064495086669922,-31.843399047851562,-32.64738845825195,-32.73434066772461,-29.099334716796875,-46.58430099487305,-45.39349365234375,-35.255577087402344
le directeur est jeune,-26.26474952697754,-25.362728118896484,-29.429885864257812,-24.61642074584961,-25.010169982910156,-23.874229431152344,-36.887142181396484,-32.7742919921875,-36.67521667480469,-27.716495513916016,-24.94333839416504,-27.261001586914062,-21.039613723754883,-25.00055694580078,-22.57573890686035,-36.164878845214844,-32.553199768066406,-29.326690673828125
le directeur sont jeunes,-37.707984924316406,-40.9224967956543,-45.67780685424805,-30.91946029663086,-28.51496696472168,-29.983171463012695,-46.34912109375,-57.634986877441406,-62.15610885620117,-33.59712219238281,-29.581520080566406,-33.18851852416992,-28.693695068359375,-29.417640686035156,-28.960693359375,-57.096702575683594,-53.12235641479492,-45.81141662597656
le directeur est petit,-24.991592407226562,-26.21054458618164,-27.569433212280273,-23.645977020263672,-24.05060577392578,-21.508752822875977,-32.00258255004883,-31.211624145507812,-32.713626861572266,-24.723407745361328,-25.142398834228516,-24.136795043945312,-23.314355850219727,-25.641252517700195,-21.757465362548828,-41.650794982910156,-37.219757080078125,-29.285621643066406
le directeur sont petits,-31.15456771850586,-30.826152801513672,-34.39583969116211,-30.30038833618164,-30.165077209472656,-28.546907424926758,-39.99080276489258,-40.958412170410156,-45.55878829956055,-31.869449615478516,-29.125900268554688,-31.906070709228516,-27.46010971069336,-27.377431869506836,-26.165857315063477,-42.70616912841797,-41.849876403808594,-28.440282821655273
le directeur est grand,-24.24207305908203,-25.623289108276367,-26.615657806396484,-23.624019622802734,-22.484140396118164,-21.878318786621094,-35.59246826171875,-31.459014892578125,-33.38848114013672,-28.17676544189453,-25.07544708251953,-29.485336303710938,-21.984127044677734,-25.001785278320312,-21.325931549072266,-35.88163375854492,-34.44208526611328,-28.911026000976562
le directeur sont grands,-30.142375946044922,-30.03436279296875,-33.95503234863281,-28.828584671020508,-28.540447235107422,-28.54308319091797,-38.33138656616211,-37.22282409667969,-44.94261932373047,-30.133991241455078,-26.781208038330078,-32.10068130493164,-25.810585021972656,-25.870620727539062,-24.27259635925293,-41.10221481323242,-39.774139404296875,-28.161277770996094
le directeur déménage,-26.708356857299805,-30.544389724731445,-30.819725036621094,-46.763275146484375,-48.83937072753906,-49.66565704345703,-41.043060302734375,-36.359718322753906,-42.21601867675781,-48.59783935546875,-62.75921630859375,-60.963523864746094,-66.73992156982422,-71.3375473022461,-69.10276794433594,-34.656524658203125,-33.85881042480469,-28.648269653320312
le directeur déménagent,-33.10163116455078,-34.90685272216797,-37.68876266479492,-52.62932586669922,-56.39921569824219,-52.226070404052734,-42.24230194091797,-44.03425979614258,-40.295921325683594,-47.780677795410156,-70.10993957519531,-72.11087799072266,-64.08116149902344,-76.97135162353516,-73.31755065917969,-38.971343994140625,-39.541954040527344,-41.158363342285156
le directeur parle,-24.040733337402344,-24.324512481689453,-27.800548553466797,-19.96187973022461,-20.07354164123535,-19.346466064453125,-36.40391540527344,-29.66545867919922,-32.25532531738281,-24.121654510498047,-19.751495361328125,-22.2974853515625,-21.681001663208008,-21.529464721679688,-17.461450576782227,-32.12638473510742,-30.301475524902344,-25.444339752197266
le directeur parlent,-26.484786987304688,-27.346986770629883,-32.31006622314453,-25.771862030029297,-25.23963165283203,-24.699182510375977,-36.176944732666016,-36.083580017089844,-35.256553649902344,-30.621234893798828,-31.5880126953125,-31.39187240600586,-26.641952514648438,-26.96332359313965,-25.712848663330078,-38.242431640625,-34.785926818847656,-32.436973571777344
le directeur retourne,-26.564455032348633,-27.156654357910156,-30.849201202392578,-20.785839080810547,-22.710023880004883,-20.718700408935547,-37.805816650390625,-36.46685028076172,-35.64971923828125,-25.406036376953125,-25.033695220947266,-24.811967849731445,-21.39437484741211,-25.15757942199707,-24.387928009033203,-34.05930709838867,-36.35968780517578,-32.36674880981445
le directeur retournent,-33.29772186279297,-34.527313232421875,-32.34636306762695,-25.51732635498047,-25.050453186035156,-24.056413650512695,-43.50377655029297,-51.52898406982422,-42.174560546875,-29.08403205871582,-29.51120948791504,-28.006898880004883,-22.80010986328125,-26.609561920166016,-24.397899627685547,-37.09420394897461,-35.968040466308594,-34.90899658203125
l' agriculteur est vieux,-32.11036682128906,-28.82105255126953,-36.777339935302734,-27.062664031982422,-30.150325775146484,-29.714981079101562,-47.90435028076172,-33.82182312011719,-46.72405242919922,-28.7340145111084,-33.35816955566406,-29.894723892211914,-39.48720169067383,-35.953155517578125,-36.25047302246094,-62.12492370605469,-55.333221435546875,-49.45376205444336
l' agriculteur sont vieux,-40.321022033691406,-33.095314025878906,-43.30913162231445,-34.97185516357422,-34.983577728271484,-32.368167877197266,-52.33534240722656,-38.18785858154297,-57.44817352294922,-37.49546813964844,-37.770538330078125,-33.769649505615234,-46.15245819091797,-43.87882614135742,-41.14959716796875,-68.2383041381836,-60.06961441040039,-55.49468994140625
l' agriculteur est jeune,-32.75700759887695,-29.037189483642578,-37.435001373291016,-22.958240509033203,-29.455421447753906,-27.837890625,-50.764244079589844,-37.39678192138672,-49.754493713378906,-22.97783088684082,-29.697996139526367,-27.968059539794922,-35.879486083984375,-31.497161865234375,-36.3735237121582,-58.94656753540039,-54.689109802246094,-51.38669967651367
l' agriculteur sont jeunes,-43.62308120727539,-37.53429412841797,-44.422367095947266,-33.43034362792969,-35.262760162353516,-32.20217514038086,-53.347938537597656,-44.54948806762695,-66.864990234375,-30.918142318725586,-34.45914840698242,-33.68740463256836,-42.411956787109375,-42.523406982421875,-41.362640380859375,-75.73495483398438,-70.39518737792969,-64.21607971191406
l' agriculteur est petit,-31.70982551574707,-30.320276260375977,-35.19052505493164,-23.006473541259766,-27.874900817871094,-26.64606475830078,-40.58428955078125,-34.690765380859375,-48.37733459472656,-23.751230239868164,-28.69597625732422,-26.345792770385742,-34.63892364501953,-31.41445541381836,-30.910037994384766,-59.658592224121094,-59.544700622558594,-49.284996032714844
l' agriculteur sont petits,-38.01641845703125,-32.198265075683594,-39.9905891418457,-33.05727005004883,-34.599945068359375,-30.43267059326172,-48.51756286621094,-41.673858642578125,-53.78766632080078,-33.3016357421875,-33.66485595703125,-31.507722854614258,-37.948020935058594,-38.33160400390625,-35.74694061279297,-60.2504768371582,-59.59474182128906,-44.70201873779297
l' agriculteur est grand,-31.63578987121582,-29.987520217895508,-35.70808792114258,-23.944637298583984,-28.27297592163086,-26.989486694335938,-45.64363098144531,-34.07524871826172,-49.31023406982422,-23.289987564086914,-29.66436767578125,-29.783903121948242,-35.360504150390625,-32.509178161621094,-31.2043514251709,-59.42073059082031,-58.906097412109375,-51.18641662597656
l' agriculteur sont grands,-37.18110275268555,-31.147058486938477,-39.64066696166992,-32.59711456298828,-33.20570373535156,-30.229705810546875,-48.898460388183594,-36.07244873046875,-56.534217834472656,-31.60169792175293,-32.735740661621094,-32.19625473022461,-39.29113006591797,-37.69783401489258,-34.756629943847656,-60.30311965942383,-55.67173767089844,-44.64928436279297
l' agriculteur déménage,-34.32419967651367,-32.11253356933594,-38.08164596557617,-53.33348083496094,-64.91724395751953,-58.493839263916016,-46.707366943359375,-38.16552734375,-52.61084747314453,-57.923133850097656,-75.53643798828125,-67.05955505371094,-86.1942138671875,-85.63642883300781,-85.65398406982422,-54.79877853393555,-59.052223205566406,-48.47953796386719
l' agriculteur déménagent,-40.633148193359375,-36.282012939453125,-44.684085845947266,-59.437156677246094,-72.89021301269531,-59.99533462524414,-47.885597229003906,-42.95710754394531,-56.94377136230469,-59.873130798339844,-84.09957122802734,-77.30078125,-83.1718978881836,-91.00807189941406,-89.52057647705078,-63.8829345703125,-65.0169677734375,-60.442535400390625
l' agriculteur parle,-31.986148834228516,-28.534582138061523,-35.77278137207031,-19.37504768371582,-26.17639923095703,-23.576446533203125,-41.91805648803711,-30.229427337646484,-43.847137451171875,-20.30220603942871,-27.002471923828125,-22.494272232055664,-33.15269088745117,-31.384328842163086,-31.485736846923828,-49.49369812011719,-44.65522384643555,-42.777069091796875
l' agriculteur parlent,-34.084808349609375,-31.214754104614258,-38.2198486328125,-25.595970153808594,-28.482280731201172,-25.540145874023438,-42.78788757324219,-36.38582992553711,-49.46870040893555,-29.905515670776367,-33.34132385253906,-27.303163528442383,-36.58125686645508,-36.608734130859375,-33.58226013183594,-52.36604690551758,-49.45471954345703,-49.60694122314453
l' agriculteur retourne,-32.60356521606445,-28.39812469482422,-36.07328796386719,-21.89739227294922,-27.821819305419922,-23.584861755371094,-48.240936279296875,-32.965843200683594,-46.53304672241211,-23.42485237121582,-27.97228240966797,-24.285951614379883,-34.47587585449219,-33.78801345825195,-33.4947509765625,-56.179405212402344,-51.68909454345703,-48.47118377685547
l' agriculteur retournent,-40.17337417602539,-35.36530303955078,-39.77411651611328,-27.399324417114258,-29.85055160522461,-29.092666625976562,-53.86467742919922,-39.57017517089844,-58.65956115722656,-26.519102096557617,-36.001651763916016,-29.308015823364258,-35.8463134765625,-37.00633239746094,-34.112266540527344,-58.74534606933594,-62.64783477783203,-54.4924201965332
le chirurgien est vieux,-43.697357177734375,-31.027132034301758,-33.64455795288086,-23.3713436126709,-22.61186408996582,-24.66119384765625,-39.0641975402832,-31.69449234008789,-26.34705352783203,-24.72116470336914,-22.57784652709961,-22.44991111755371,-28.39114761352539,-28.631488800048828,-24.834369659423828,-50.03805160522461,-43.69981002807617,-47.84839630126953
le chirurgien sont vieux,-45.8853759765625,-34.86271667480469,-38.67097854614258,-29.506895065307617,-27.679182052612305,-29.239830017089844,-43.15764236450195,-38.19999694824219,-35.76625061035156,-32.591827392578125,-28.14876365661621,-29.056156158447266,-38.02738571166992,-38.17533874511719,-30.695350646972656,-52.94838333129883,-51.7877082824707,-53.342655181884766
le chirurgien est jeune,-43.631378173828125,-32.005340576171875,-35.37965774536133,-19.601125717163086,-21.230194091796875,-21.166637420654297,-39.48949432373047,-37.14506530761719,-24.340484619140625,-19.878520965576172,-16.5867919921875,-17.75867462158203,-27.950733184814453,-28.477725982666016,-26.21848487854004,-50.69306182861328,-45.501853942871094,-49.626922607421875
le chirurgien sont jeunes,-49.35807418823242,-39.408077239990234,-44.32338333129883,-28.618623733520508,-27.604827880859375,-28.695789337158203,-50.370487213134766,-45.41326904296875,-48.39796447753906,-27.668136596679688,-25.449155807495117,-26.05280303955078,-35.38846969604492,-35.60723114013672,-30.49627113342285,-62.51969528198242,-59.742828369140625,-63.343318939208984
le chirurgien est petit,-41.24763107299805,-30.476898193359375,-32.298519134521484,-19.941715240478516,-19.65787124633789,-20.694435119628906,-35.494140625,-34.53078079223633,-25.955507278442383,-21.542198181152344,-17.242984771728516,-14.654800415039062,-25.91111946105957,-26.995386123657227,-22.558048248291016,-50.11985778808594,-44.528568267822266,-49.242835998535156
le chirurgien sont petits,-42.06077575683594,-32.27183532714844,-35.29437255859375,-27.983261108398438,-27.517019271850586,-26.934276580810547,-40.167694091796875,-38.87007141113281,-30.794437408447266,-27.727069854736328,-22.402753829956055,-23.690406799316406,-31.245479583740234,-33.253684997558594,-25.155323028564453,-48.32373809814453,-45.12967300415039,-47.23092269897461
le chirurgien est grand,-40.376712799072266,-30.429580688476562,-31.825286865234375,-20.826814651489258,-19.97827911376953,-20.984752655029297,-36.030242919921875,-33.20615005493164,-23.918642044067383,-22.45441436767578,-17.52877426147461,-18.526777267456055,-24.047222137451172,-26.283599853515625,-20.88957977294922,-49.4802360534668,-42.88511276245117,-49.0001220703125
le chirurgien sont grands,-41.211639404296875,-32.39657211303711,-35.57648468017578,-26.767459869384766,-25.62470817565918,-26.475109100341797,-38.209171295166016,-35.54145050048828,-31.103561401367188,-26.733116149902344,-23.26701545715332,-24.922393798828125,-30.647186279296875,-30.680130004882812,-24.43423843383789,-49.68589782714844,-45.36337661743164,-49.162742614746094
le chirurgien déménage,-40.6353759765625,-34.55166244506836,-33.730926513671875,-50.749149322509766,-51.991981506347656,-46.2977294921875,-38.435508728027344,-37.77418518066406,-32.72428894042969,-53.221683502197266,-58.14390182495117,-50.53268051147461,-72.22785949707031,-75.99922180175781,-73.70520782470703,-50.113929748535156,-53.084327697753906,-49.044708251953125
le chirurgien déménagent,-48.237152099609375,-41.25080871582031,-40.18830108642578,-56.28274917602539,-59.63263702392578,-48.58417892456055,-43.78234100341797,-43.36357879638672,-34.785491943359375,-55.69729995727539,-66.88256072998047,-62.3204460144043,-71.11949920654297,-81.06204986572266,-79.2538833618164,-52.121028900146484,-55.34736633300781,-60.94914245605469
le chirurgien parle,-37.78102493286133,-29.58356475830078,-30.72005271911621,-14.21976089477539,-15.51729679107666,-15.015437126159668,-28.833406448364258,-37.07029724121094,-22.91022491455078,-13.762346267700195,-13.427760124206543,-9.319096565246582,-18.185550689697266,-24.143951416015625,-21.70449447631836,-41.57057189941406,-45.12986373901367,-45.68385696411133
le chirurgien parlent,-40.04187774658203,-32.5962028503418,-35.68119812011719,-23.681564331054688,-19.167076110839844,-18.472675323486328,-37.40779113769531,-37.165809631347656,-31.052310943603516,-22.164012908935547,-15.873002052307129,-13.616933822631836,-23.83111572265625,-30.650402069091797,-24.00548553466797,-43.70545196533203,-50.7569465637207,-47.964324951171875
le chirurgien retourne,-39.06181335449219,-31.262371063232422,-32.204105377197266,-16.00059700012207,-15.707419395446777,-16.37384605407715,-37.44173812866211,-32.46659469604492,-26.539207458496094,-16.8544921875,-11.386306762695312,-14.038416862487793,-23.64156723022461,-27.668025970458984,-24.890907287597656,-51.35422134399414,-47.7613410949707,-51.550167083740234
le chirurgien retournent,-50.01521301269531,-38.272705078125,-37.39238739013672,-21.276851654052734,-20.199024200439453,-21.385541915893555,-53.5294189453125,-42.082366943359375,-32.0146484375,-20.774681091308594,-18.574573516845703,-18.633939743041992,-27.725229263305664,-32.150142669677734,-25.115795135498047,-51.761051177978516,-51.748043060302734,-54.666446685791016
le sénateur est vieux,-31.6839599609375,-29.115449905395508,-28.954065322875977,-45.294288635253906,-55.88447189331055,-47.03837585449219,-52.268836975097656,-43.39235305786133,-40.467674255371094,-63.40089797973633,-68.54902648925781,-59.76385498046875,-61.22880172729492,-61.72349166870117,-54.951202392578125,-45.45002365112305,-40.73060989379883,-30.54010009765625
le sénateur sont vieux,-38.657188415527344,-37.863136291503906,-37.03483963012695,-51.80427932739258,-62.30303192138672,-53.93167495727539,-53.55125427246094,-46.3253059387207,-53.902015686035156,-74.11834716796875,-77.67752075195312,-65.93960571289062,-66.76158142089844,-67.34662628173828,-59.950130462646484,-52.710018157958984,-52.142784118652344,-41.52824401855469
le sénateur est jeune,-33.114044189453125,-29.538663864135742,-30.021623611450195,-41.7083854675293,-54.74131393432617,-44.98016357421875,-53.74724578857422,-45.15834045410156,-40.29037857055664,-58.69668197631836,-63.77851486206055,-59.97581481933594,-57.20497131347656,-57.36905288696289,-54.31159591674805,-47.52035140991211,-44.991233825683594,-37.11592102050781
le sénateur sont jeunes,-42.39482116699219,-44.45793151855469,-45.24314498901367,-51.073734283447266,-62.53936004638672,-54.28329849243164,-58.63971710205078,-58.352237701416016,-66.40612030029297,-70.05087280273438,-75.72274780273438,-65.27037048339844,-64.23567962646484,-65.48687744140625,-60.55663299560547,-60.31550216674805,-63.42960739135742,-52.00035858154297
le sénateur est petit,-31.684112548828125,-31.281774520874023,-29.599485397338867,-41.30989074707031,-53.95952224731445,-44.45152282714844,-50.75262451171875,-45.48556137084961,-41.75108337402344,-57.28404998779297,-65.0230712890625,-55.93968963623047,-57.72886657714844,-58.351348876953125,-50.235679626464844,-48.80263137817383,-44.8038215637207,-36.34566879272461
le sénateur sont petits,-35.97273635864258,-35.56420135498047,-34.14208984375,-50.25010681152344,-62.930328369140625,-52.95458984375,-50.285072326660156,-46.67443084716797,-49.98857879638672,-68.61334228515625,-74.91348266601562,-65.28082275390625,-59.97322082519531,-62.653297424316406,-54.58866500854492,-46.76833724975586,-48.678749084472656,-37.12775802612305
le sénateur est grand,-30.669635772705078,-29.562471389770508,-28.846834182739258,-41.6860237121582,-54.45713806152344,-44.5802116394043,-51.01354217529297,-45.12286376953125,-41.135658264160156,-58.48502731323242,-65.77359008789062,-61.79032897949219,-56.26624298095703,-58.61289596557617,-49.67563247680664,-46.071998596191406,-42.79502487182617,-35.89524841308594
